address,age,amenities,area,bath,bed,features,gross_taxes_2017,latlng,link,listing_id,price,primary_broker,property_type,school_info,sqft,strata_maintenance_fees,strata_type,sub_area
8537 Cartier Street,2.0,,Vancouver West,3,3,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave",,"(49.2412719, -123.1369259)",https://www.rew.ca/properties/R2230949/8537-cartier-street-vancouver-bc,R2230949,1750000,Royal Pacific Realty Corp.,Duplex,"[{'distance': '0.1 km', 'address': '8370 Cartier St, Vancouver', 'grades': 'K - 7', 'name': 'David Lloyd George Elementary School', 'latitude': 49.2102331, 'longitude': -123.1363536, 'category': 'Public'}, {'distance': '1.5 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '0.6 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '8671 Odlin Cres, Richmond', 'grades': 'K - 7', 'name': 'Pythagoras Academy', 'latitude': 49.181452, 'longitude': -123.127226, 'category': 'Independent'}, {'distance': '3.6 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",1399,0.0,Freehold Strata,Marpole
5-338 W 64th Avenue,1.0,"Garden, In Suite Laundry",Vancouver West,3,3,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave",0.0,"(49.2125548, -123.1127668)",https://www.rew.ca/properties/R2230884/5-338-w-64th-avenue-vancouver-bc,R2230884,1738000,Regent Park Realty Inc.,Townhouse,"[{'distance': '0.6 km', 'address': '7410 Columbia St, Vancouver', 'grades': 'K - 7', 'name': 'J.W. Sexsmith Community Elementary School', 'latitude': 49.217976, 'longitude': -123.1112726, 'category': 'Public'}, {'distance': '1.3 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '2.0 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.4 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.4 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.6 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.1 km', 'address': '11295 Mellis Dr, Richmond', 'grades': '11 - 12', 'name': 'Canada Star Secondary School', 'latitude': 49.1859128, 'longitude': -123.0986174, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}]",1658,301.0,Freehold Strata,Marpole
1605-489 Interurban Way,3.0,"Club House, Garden, In Suite Laundry, Independent living, Playground, Storage",Vancouver West,1,1,"ClthWsh/Dryr/Frdg/Stve/DW, Dishwasher, Drapes/Window Coverings, Microwave, Smoke Alarm, Sprinkler - Fire",1053.0,,https://www.rew.ca/properties/R2230438/1605-489-interurban-way-vancouver-bc,R2230438,555000,Regent Park Realty Inc.,Apt/Condo,"[{'distance': '1.0 km', 'address': '7410 Columbia St, Vancouver', 'grades': 'K - 7', 'name': 'J.W. Sexsmith Community Elementary School', 'latitude': 49.217976, 'longitude': -123.1112726, 'category': 'Public'}, {'distance': '1.3 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '1.6 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.4 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '11295 Mellis Dr, Richmond', 'grades': '11 - 12', 'name': 'Canada Star Secondary School', 'latitude': 49.1859128, 'longitude': -123.0986174, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.1 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}]",486,246.0,Freehold Strata,Marpole
3801-488 SW Marine Drive,3.0,"Bike Room, Club House, Exercise Centre, Playground",Vancouver West,2,2,"Clothes Washer/Dryer, Microwave, Range Top, Refrigerator, Sprinkler - Fire",3853.0,,https://www.rew.ca/properties/R2231189/3801-488-sw-marine-drive-vancouver-bc,R2231189,2280000,Macdonald Realty Manyee Lui,Apt/Condo,"[{'distance': '1.0 km', 'address': '7410 Columbia St, Vancouver', 'grades': 'K - 7', 'name': 'J.W. Sexsmith Community Elementary School', 'latitude': 49.217976, 'longitude': -123.1112726, 'category': 'Public'}, {'distance': '1.3 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '1.6 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.5 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '11295 Mellis Dr, Richmond', 'grades': '11 - 12', 'name': 'Canada Star Secondary School', 'latitude': 49.1859128, 'longitude': -123.0986174, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}]",1297,626.0,Freehold Strata,Marpole
987 W 70th Avenue,1.0,"Air Cond./Central, Garden, In Suite Laundry, Storage",Vancouver West,3,3,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Security System, Sprinkler - Fire",2082.0,"(49.2085358, -123.1370827)",https://www.rew.ca/properties/R2186024/987-w-70th-avenue-vancouver-bc,R2186024,918000,Macdonald Realty,Townhouse,"[{'distance': '1.1 km', 'address': '7350 Laurel St, Vancouver', 'grades': 'K - 7', 'name': 'Sir Wilfrid Laurier Elementary School', 'latitude': 49.2182076, 'longitude': -123.1249947, 'category': 'Public'}, {'distance': '1.3 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '0.8 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '8671 Odlin Cres, Richmond', 'grades': 'K - 7', 'name': 'Pythagoras Academy', 'latitude': 49.181452, 'longitude': -123.127226, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",991,280.0,Freehold Strata,Marpole
985 W 70th Avenue,1.0,"Air Cond./Central, Garden, In Suite Laundry, Storage",Vancouver West,3,3,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Security System, Sprinkler - Fire",2342.0,"(49.2085358, -123.1370827)",https://www.rew.ca/properties/R2186036/985-w-70th-avenue-vancouver-bc,R2186036,1045000,Macdonald Realty,Townhouse,"[{'distance': '1.1 km', 'address': '7350 Laurel St, Vancouver', 'grades': 'K - 7', 'name': 'Sir Wilfrid Laurier Elementary School', 'latitude': 49.2182076, 'longitude': -123.1249947, 'category': 'Public'}, {'distance': '1.3 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '0.8 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '8671 Odlin Cres, Richmond', 'grades': 'K - 7', 'name': 'Pythagoras Academy', 'latitude': 49.181452, 'longitude': -123.127226, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",1130,314.0,Freehold Strata,Marpole
304-1296 W 70th Avenue,35.0,"Elevator, Shared Laundry, Storage, Wheelchair Access",Vancouver West,1,1,"Garage Door Opener, Intercom, Refrigerator, Stove",750.0,,https://www.rew.ca/properties/R2221376/304-1296-w-70th-avenue-vancouver-bc,R2221376,418800,RE/MAX Crest Realty,Apt/Condo,"[{'distance': '0.3 km', 'address': '8370 Cartier St, Vancouver', 'grades': 'K - 7', 'name': 'David Lloyd George Elementary School', 'latitude': 49.2102331, 'longitude': -123.1363536, 'category': 'Public'}, {'distance': '1.5 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '0.5 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '8671 Odlin Cres, Richmond', 'grades': 'K - 7', 'name': 'Pythagoras Academy', 'latitude': 49.181452, 'longitude': -123.127226, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}, {'distance': '3.5 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",704,204.0,Freehold Strata,Marpole
215-8680 Fremlin Street,54.0,"Elevator, Pool; Outdoor, Storage",Vancouver West,1,1,"Intercom, Refrigerator, Smoke Alarm, Stove",732.0,,https://www.rew.ca/properties/R2230839/215-8680-fremlin-street-vancouver-bc,R2230839,349900,Metro Edge Realty,Apt/Condo,"[{'distance': '1.2 km', 'address': '7350 Laurel St, Vancouver', 'grades': 'K - 7', 'name': 'Sir Wilfrid Laurier Elementary School', 'latitude': 49.2182076, 'longitude': -123.1249947, 'category': 'Public'}, {'distance': '1.5 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '0.8 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '8671 Odlin Cres, Richmond', 'grades': 'K - 7', 'name': 'Pythagoras Academy', 'latitude': 49.181452, 'longitude': -123.127226, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '11295 Mellis Dr, Richmond', 'grades': '11 - 12', 'name': 'Canada Star Secondary School', 'latitude': 49.1859128, 'longitude': -123.0986174, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",689,297.0,Freehold Strata,Marpole
PH3306-8131 Nunavut Lane,2.0,,Vancouver West,2,2,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Smoke Alarm",3074.0,,https://www.rew.ca/properties/R2223331/ph3306-8131-nunavut-lane-vancouver-bc,R2223331,1518000,Rennie & Associates Realty,Apt/Condo,"[{'distance': '0.9 km', 'address': '7410 Columbia St, Vancouver', 'grades': 'K - 7', 'name': 'J.W. Sexsmith Community Elementary School', 'latitude': 49.217976, 'longitude': -123.1112726, 'category': 'Public'}, {'distance': '1.2 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '1.6 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}, {'distance': '2.5 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.1 km', 'address': '11295 Mellis Dr, Richmond', 'grades': '11 - 12', 'name': 'Canada Star Secondary School', 'latitude': 49.1859128, 'longitude': -123.0986174, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '8766 McKim Way Unit 2165, Richmond', 'grades': '10 - 12', 'name': 'City Vancouver Academy', 'latitude': 49.183144, 'longitude': -123.12564, 'category': 'Independent'}]",1047,460.0,Freehold Strata,Marpole
865 W 60th Avenue,7.0,,Vancouver West,6,5,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Oven-Built In",8101.0,"(49.2171748, -123.1518433)",https://www.rew.ca/properties/R2226344/865-w-60th-avenue-vancouver-bc,R2226344,3288000,RE/MAX Select Realty,House,"[{'distance': '0.2 km', 'address': '7350 Laurel St, Vancouver', 'grades': 'K - 7', 'name': 'Sir Wilfrid Laurier Elementary School', 'latitude': 49.2182076, 'longitude': -123.1249947, 'category': 'Public'}, {'distance': '0.4 km', 'address': '7055 Heather St, Vancouver', 'grades': '8 - 12', 'name': 'Sir Winston Churchill Secondary School', 'latitude': 49.2203585, 'longitude': -123.1254392, 'category': 'Public'}, {'distance': '1.1 km', 'address': '1545 62nd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Hebrew Academy', 'latitude': 49.2154717, 'longitude': -123.1413693, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '1370 73rd Ave W, Vancouver', 'grades': 'K - 7', 'name': 'St Anthony of Padua School', 'latitude': 49.2044777, 'longitude': -123.1367032, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '8650 Barnard St, Vancouver', 'grades': 'K', 'name': 'Vancouver Montessori School', 'latitude': 49.2077469, 'longitude': -123.1451878, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '5718 Willow St, Vancouver', 'grades': '8 - 12', 'name': 'King David High School', 'latitude': 49.2334558, 'longitude': -123.1230754, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '5400 Cartier St, Vancouver', 'grades': 'K - 12', 'name': 'Vancouver College', 'latitude': 49.2362046, 'longitude': -123.1371176, 'category': 'Independent'}, {'distance': '2.5 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.5 km', 'address': '998 West 26th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Vancouver Talmud Torah Elementary School', 'latitude': 49.2478568, 'longitude': -123.1268159, 'category': 'Independent'}]",3051,,Freehold NonStrata,Marpole
306-808 E 8th Avenue,40.0,"Bike Room, Storage",Vancouver East,1,1,"Dishwasher, Garage Door Opener, Microwave, Refrigerator, Security System, Storage Shed, Stove",882.0,,https://www.rew.ca/properties/R2227801/306-808-e-8th-avenue-vancouver-bc,R2227801,544900,Home Life Glenayre Realty Company Ltd.,Apt/Condo,"[{'distance': '0.5 km', 'address': '2300 Guelph St, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Mount Pleasant School', 'latitude': 49.2640399, 'longitude': -123.0940422, 'category': 'Public'}, {'distance': '2.6 km', 'address': '2600 Broadway E, Vancouver', 'grades': '8 - 12', 'name': 'Vancouver Technical Secondary School', 'latitude': 49.2614045, 'longitude': -123.0516839, 'category': 'Public'}, {'distance': '0.8 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '1.5 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.9 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}]",610,245.0,Freehold Strata,Mount Pleasant East
