,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
722,Apartment For Sale,366-368 San Carlos St,SAN FRANCISCO,CA,94110,1695000.0,"4 bds , 2 ba , 2,416 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/366-368-San-Carlos-St-San-Francisco-CA-94110/15145696_zpid/,4.0,2.0,2416.0,apartment,"(37.7575461428571, -122.419846122449)"
723,Condo For Sale,1861 Alabama St # 18632,San Francisco,CA,94110,650000.0,"1 bd , 1 ba , 900 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1861-Alabama-St-18632-San-Francisco-CA-94110/2090969798_zpid/,1.0,1.0,900.0,condo,"(37.7436560909638, -122.410110234668)"
725,Condo For Sale,1861 Alabama St # 3,San Francisco,CA,94110,650000.0,"1 bd , 2 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/1861-Alabama-St-3-San-Francisco-CA-94110/2090994212_zpid/,1.0,2.0,,condo,"(37.7436560909638, -122.410110234668)"
726,Condo For Sale,1861 Alabama St # 2,San Francisco,CA,94110,650000.0,"1 bd , 1 ba , 901 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1861-Alabama-St-2-San-Francisco-CA-94110/2090994213_zpid/,1.0,1.0,901.0,condo,"(37.7436560909638, -122.410110234668)"
727,Condo For Sale,1183 Hampshire St,San Francisco,CA,94110,997500.0,"2 bds , 1.5 ba , 1,075 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1183-Hampshire-St-San-Francisco-CA-94110/2094897555_zpid/,2.0,1.5,1075.0,condo,"(37.7532568979592, -122.407221714286)"
728,House For Sale,676 Peralta Ave,San Francisco,CA,94110,1599000.0,"3 bds , 2 ba , 1,319 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/676-Peralta-Ave-San-Francisco-CA-94110/15161636_zpid/,3.0,2.0,1319.0,house,"(37.741790875, -122.408865625)"
738,Condo For Sale,960 Anza St APT 6,San Francisco,CA,94118,695000.0,"1 bd , 1 ba , -- sqft",,https://www.zillow.com/homedetails/960-Anza-St-APT-6-San-Francisco-CA-94118/2090932009_zpid/,1.0,1.0,,condo,
739,Apartment For Sale,1550-1552 Lake St,SAN FRANCISCO,CA,94118,1990000.0,"Studio , -- ba , 2,852 sqft",Century 21 Realty Alliance,https://www.zillow.com/homedetails/1550-1552-Lake-St-San-Francisco-CA-94118/15089181_zpid/,0.0,,2852.0,apartment,"(37.786236122449, -122.476053755102)"
741,Condo For Sale,3330 Clay St # A,San Francisco,CA,94118,649000.0,"1 bd , 1 ba , 568 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/3330-Clay-St-A-San-Francisco-CA-94118/2091702607_zpid/,1.0,1.0,568.0,condo,
742,House For Sale,3962 Clay St,San Francisco,CA,94118,4990000.0,"5 bds , 5.5 ba , 3,915 sqft",JODI Group,https://www.zillow.com/homedetails/3962-Clay-St-San-Francisco-CA-94118/2143196693_zpid/,5.0,5.5,3915.0,house,"(37.7877134693878, -122.458467367347)"
743,Condo For Sale,3827 Clay St,San Francisco,CA,94118,2295000.0,"2 bds , 2 ba , 2,100 sqft",Coldwell Banker Residential Brokerage - San Francisco Market Street,https://www.zillow.com/homedetails/3827-Clay-St-San-Francisco-CA-94118/15082332_zpid/,2.0,2.0,2100.0,condo,"(37.7878718979592, -122.455909387755)"
745,Apartment For Sale,3452 3456 Sacramento St,San Francisco,CA,94118,3295000.0,"Studio , -- ba , 4,058 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/3452-3456-Sacramento-St-San-Francisco-CA-94118/2091433996_zpid/,0.0,,4058.0,apartment,"(37.7879477346939, -122.449537020408)"
754,Apartment For Sale,80-82 Museum Way,SAN FRANCISCO,CA,94114,1595000.0,"Studio , -- ba , 2,800 sqft",Vanguard Properties,https://www.zillow.com/homedetails/80-82-Museum-Way-San-Francisco-CA-94114/15127399_zpid/,0.0,,2800.0,apartment,"(37.7642537009997, -122.439714361294)"
755,Condo For Sale,3693 17th St,San Francisco,CA,94114,2595000.0,"4 bds , 3 ba , 2,490 sqft",Square Foot SF,https://www.zillow.com/homedetails/3693-17th-St-San-Francisco-CA-94114/2103037831_zpid/,4.0,3.0,2490.0,condo,"(37.7628243, -122.4282428)"
756,House For Sale,171 Twin Peaks Blvd,San Francisco,CA,94114,2988000.0,"3 bds , -- ba , 2,900 sqft",Realty World - Dominion,https://www.zillow.com/homedetails/171-Twin-Peaks-Blvd-San-Francisco-CA-94114/15129661_zpid/,3.0,,2900.0,house,"(37.759275, -122.448447142857)"
758,House For Sale,549 Jersey St,San Francisco,CA,94114,2395000.0,"3 bds , 2 ba , 1,970 sqft",Compass,https://www.zillow.com/homedetails/549-Jersey-St-San-Francisco-CA-94114/15181048_zpid/,3.0,2.0,1970.0,house,"(37.7502126734694, -122.437282469388)"
759,House For Sale,4247 24th St,San Francisco,CA,94114,2295000.0,"3 bds , 2 ba , 2,342 sqft",Compass,https://www.zillow.com/homedetails/4247-24th-St-San-Francisco-CA-94114/2090931259_zpid/,3.0,2.0,2342.0,house,"(37.7510098979592, -122.437321408163)"
760,Condo For Sale,730 Clipper St,San Francisco,CA,94114,1295000.0,"2 bds , 2.5 ba , 1,299 sqft",Vanguard Properties,https://www.zillow.com/homedetails/730-Clipper-St-San-Francisco-CA-94114/15181099_zpid/,2.0,2.5,1299.0,condo,"(37.7487030267235, -122.440959383326)"
