sqft,gross_taxes_2017,area,sub_area,primary_broker,listing_id,property_type,age,school_info,price,address,type,link,features,strata_maintenance_fees,bath,strata_type,bed,amenities
1313,2236,Vancouver West,Point Grey,Sutton Group West Coast Realty,R2228838,Townhouse,Built in 1984 (34 yrs old),"[{'distance': '0.9 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '1.7 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.1 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.1 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}]",999900,104-4696 W 10th Avenue,Townhouse,https://www.rew.ca/properties/R2228838/104-4696-w-10th-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings",569,2,Freehold Strata,2,"Elevator, In Suite Laundry, Storage"
3201,7971,Vancouver West,Point Grey,Macdonald Realty,R2230167,House,Built in 1915 (103 yrs old),"[{'distance': '0.5 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.1 km', 'address': '4102 16th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Queen Elizabeth Elementary School', 'latitude': 49.257173, 'longitude': -123.2009343, 'category': 'Public'}, {'distance': '1.6 km', 'address': '4275 Crown St, Vancouver', 'grades': 'K - 3', 'name': 'Queen Elizabeth Annex', 'latitude': 49.2489806, 'longitude': -123.1951091, 'category': 'Public'}, {'distance': '0.5 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '0.8 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",2980000,3868 W 10th Avenue,House,https://www.rew.ca/properties/R2230167/3868-w-10th-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Hot Tub Spa/Swirlpool",,4,Freehold NonStrata,6,
3179,13634,Vancouver West,Point Grey,Maxcel Westcoast Realty Ltd.,R2230423,House,Built in 1924 (94 yrs old),"[{'distance': '0.7 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '2.0 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '0.9 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '3.0 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '215-2678 Broadway W, Vancouver', 'grades': 'K', 'name': 'Pear Tree Elementary School', 'latitude': 49.2638952, 'longitude': -123.165781, 'category': 'Independent'}]",6680000,4451 Belmont Avenue,House,https://www.rew.ca/properties/R2230423/4451-belmont-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Security System",,4,Freehold NonStrata,3,
2584,10255,Vancouver West,Point Grey,Maxcel Westcoast Realty Ltd.,R2230484,House,Built in 2015 (3 yrs old),"[{'distance': '0.7 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '1.8 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.0 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.7 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.3 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",4288888,4659 W 8th Avenue,House,https://www.rew.ca/properties/R2230484/4659-w-8th-avenue-vancouver-bc,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Heat Recov. Vent., Oven-Built In, Security System, Wet Bar",,5,Freehold NonStrata,5,
2942,11509,Vancouver West,Point Grey,Sutton Group West Coast Realty,R2202750,House,Built in 1932 (86 yrs old),"[{'distance': '1.1 km', 'address': '4102 16th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Queen Elizabeth Elementary School', 'latitude': 49.257173, 'longitude': -123.2009343, 'category': 'Public'}, {'distance': '1.6 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '2.0 km', 'address': '4275 Crown St, Vancouver', 'grades': 'K - 3', 'name': 'Queen Elizabeth Annex', 'latitude': 49.2489806, 'longitude': -123.1951091, 'category': 'Public'}, {'distance': '1.1 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.6 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '1.9 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '2.5 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",4188000,4648 W 12th Avenue,House,https://www.rew.ca/properties/R2202750/4648-w-12th-avenue-vancouver-bc,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings",,3,Freehold NonStrata,5,
8139,53946,Vancouver West,Point Grey,Macdonald Realty Manyee Lui,R2230675,House,Built in 1915 (103 yrs old),"[{'distance': '1.4 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '2.8 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.7 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.8 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '3.3 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '3.5 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '4.0 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",28000000,4838 Belmont Avenue,House,https://www.rew.ca/properties/R2230675/4838-belmont-avenue-vancouver-bc,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Microwave, Oven-Built In, Range Top, Refrigerator, Security System, Sprinkler - Inground, Vacuum Blt. In",,8,Freehold NonStrata,8,"Pool; Indoor, Sauna/Steam Room"
3227,8590,Vancouver West,Point Grey,Westside Tom Gradecak Realty,R2223613,House,Built in 2017 (1 yrs old),"[{'distance': '0.8 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '1.8 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.1 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.3 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",4780000,4695 W 9th Avenue,House,https://www.rew.ca/properties/R2223613/4695-w-9th-avenue-vancouver-bc,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Heat Recov. Vent., Microwave, Oven-Built In, Range Top, Refrigerator, Security System, Wet Bar",,5,Freehold NonStrata,5,"Air Cond./Central, Garden, In Suite Laundry"
2952,8643,Vancouver West,Point Grey,Westside Tom Gradecak Realty,R2224526,House,Built in 2016 (2 yrs old),"[{'distance': '0.5 km', 'address': '4102 16th Ave W, Vancouver', 'grades': 'K - 7', 'name': 'Queen Elizabeth Elementary School', 'latitude': 49.257173, 'longitude': -123.2009343, 'category': 'Public'}, {'distance': '0.5 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.4 km', 'address': '4275 Crown St, Vancouver', 'grades': 'K - 3', 'name': 'Queen Elizabeth Annex', 'latitude': 49.2489806, 'longitude': -123.1951091, 'category': 'Public'}, {'distance': '0.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '0.6 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '0.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",4288000,4143 W 13th Avenue,House,https://www.rew.ca/properties/R2224526/4143-w-13th-avenue-vancouver-bc,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Heat Recov. Vent., Microwave, Oven-Built In, Range Top, Refrigerator, Security System",,6,Freehold NonStrata,5,"Air Cond./Central, Garden, In Suite Laundry"
3163,8554,Vancouver West,Point Grey,Westside Tom Gradecak Realty,R2223611,House,Built in 2017 (1 yrs old),"[{'distance': '0.8 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '1.8 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.1 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '1.7 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.3 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.8 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",4780000,4691 W 9th Avenue,House,https://www.rew.ca/properties/R2223611/4691-w-9th-avenue-vancouver-bc,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Heat Recov. Vent., Microwave, Oven-Built In, Range Top, Refrigerator, Security System, Wet Bar",,5,Freehold NonStrata,5,"Garden, In Suite Laundry"
2620,17412,Vancouver West,Point Grey,Dexter Associates Realty,R2224856,House,Built in 2014 (4 yrs old),"[{'distance': '0.8 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '2.2 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.2 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '2.2 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.6 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '3.0 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '3.4 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",6999000,1505 Tolmie Street,House,https://www.rew.ca/properties/R2224856/1505-tolmie-street-vancouver-bc,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Fireplace Insert, Garage Door Opener, Heat Recov. Vent., Hot Tub Spa/Swirlpool, Security System, Smoke Alarm, Sprinkler - Fire, Swimming Pool Equip.",,3,Freehold NonStrata,3,"Air Cond./Central, Elevator, Pool; Outdoor"
2491,17149,Vancouver West,Point Grey,RE/MAX Stuart Bonner,R2229538,House,Built in 1936 (82 yrs old),"[{'distance': '0.6 km', 'address': '2000 Trimble St, Vancouver', 'grades': 'K - 7', 'name': 'Queen Mary Elementary School', 'latitude': 49.2680915, 'longitude': -123.2050857, 'category': 'Public'}, {'distance': '2.0 km', 'address': '3939 16th Ave W, Vancouver', 'grades': '8 - 12', 'name': 'Lord Byng Secondary School', 'latitude': 49.2588707, 'longitude': -123.192358, 'category': 'Public'}, {'distance': '1.0 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K', 'name': 'Family Montessori School', 'latitude': 49.267502, 'longitude': -123.1990895, 'category': 'Independent'}, {'distance': '1.0 km', 'address': '4125 8th Ave W, Vancouver', 'grades': 'K - 12', 'name': 'West Point Grey Academy', 'latitude': 49.2665672, 'longitude': -123.2003121, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '2550 Camosun St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Perpetual Help School', 'latitude': 49.2640535, 'longitude': -123.1961681, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '3050 Crown St, Vancouver', 'grades': 'K - 7', 'name': 'Ecole Jules Quesnel Elementary', 'latitude': 49.2590199, 'longitude': -123.1925809, 'category': 'Public'}, {'distance': '2.1 km', 'address': '5488 Ortona Rd, Vancouver', 'grades': 'K - 8', 'name': 'Norma Rose Point Elementary Junior School', 'latitude': 49.2616617, 'longitude': -123.2327786, 'category': 'Public'}, {'distance': '2.4 km', 'address': '4196 4th Ave W, Vancouver', 'grades': 'K - 6', 'name': 'Pacific Spirit School', 'latitude': 49.2685086, 'longitude': -123.177683, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '4175 W 29th Ave, Vancouver', 'grades': '1 - 12', 'name': ""St George's School"", 'latitude': 49.2475246, 'longitude': -123.1991544, 'category': 'Independent'}, {'distance': '3.2 km', 'address': '3745 West 28th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Immaculate Conception School', 'latitude': 49.2473971, 'longitude': -123.187749, 'category': 'Independent'}]",5288000,4514 Langara Avenue,House,https://www.rew.ca/properties/R2229538/4514-langara-avenue-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,,3,Freehold NonStrata,3,
